quarter,mean_loss_q,cum_mean_loss,worst_path_loss_q,cum_worst_loss
1,0.012847019915678607,0.012847019915678607,0.043904198333621025,0.043904198333621025
2,0.013462041049704556,0.026309060965383164,0.46803724616765974,0.5119414445012808
3,0.013540197698719175,0.03984925866410234,-0.019848494045436385,0.4920929504558444
4,0.013688773512186954,0.053538032176289295,0.17632586834952235,0.6684188188053668
5,0.015079788431412985,0.06861782060770227,0.31862887851893906,0.9870476973243059
6,0.014898163298702005,0.08351598390640427,-0.016492331214249135,0.9705553661100568
7,0.016234245016214687,0.09975022892261896,-0.029209984187036752,0.94134538192302
8,0.016136340237160894,0.11588656915977985,0.41385839805006985,1.3552037799730898
9,0.017206403051602214,0.13309297221138205,0.14637813437730074,1.5015819143503906
10,0.01760116107405532,0.15069413328543738,0.002994596492499113,1.5045765108428897
11,0.01770563969262772,0.1683997729780651,0.5258916586637497,2.0304681695066393
12,0.0188838648746595,0.18728363785272462,0.8039409292861819,2.834409098792821
